X, Y, Z
0.80829155,-6.473608,-3.071755,
0.8223488,-6.494694,-3.0998695,
0.86452055,-6.501723,-3.092841,
0.8574919,-6.51578,-3.0787835,
0.8574919,-6.494694,-3.071755,
0.8856064,-6.494694,-3.0576978,
0.83640605,-6.51578,-3.0998695,
0.8504633,-6.473608,-3.0998695,
0.83640605,-6.501723,-3.092841,
0.84343463,-6.494694,-3.0787835,
0.80829155,-6.494694,-3.0787835,
0.86452055,-6.51578,-3.0787835,
0.84343463,-6.5368657,-3.0998695,
0.8223488,-6.51578,-3.0998695,
0.8153202,-6.51578,-3.0787835,
0.8223488,-6.51578,-3.050669,
0.84343463,-6.51578,-3.0787835,
0.8223488,-6.51578,-3.092841,
0.8223488,-6.501723,-3.0787835,
0.8223488,-6.501723,-3.0858123,
0.8504633,-6.4876657,-3.0998695,
0.8574919,-6.494694,-3.071755,
0.8223488,-6.51578,-3.0998695,
0.8434347,-6.494694,-3.0998695,
0.84343463,-6.473608,-3.0576978,
0.84343463,-6.5228086,-3.0998695,
0.8574919,-6.51578,-3.071755,
0.8223488,-6.4665794,-3.0998695,
0.8223488,-6.473608,-3.0998695,
0.8434347,-6.51578,-3.0787835,
0.8856064,-6.4806366,-3.0647264,
0.86452055,-6.501723,-3.1139266,
0.8293774,-6.4806366,-3.0998695,
0.8504633,-6.51578,-3.127984,
0.8223488,-6.51578,-3.0366118,
0.8504633,-6.494694,-3.0366118,
0.8223488,-6.51578,-3.0998695,
0.84343463,-6.51578,-3.1139266,
0.8293774,-6.5087514,-3.0998695,
0.84343463,-6.5228086,-3.050669,
0.8223488,-6.4806366,-3.0998695,
0.84343463,-6.494694,-3.106898,
0.8504633,-6.529837,-3.0647264,
0.8223488,-6.5087514,-3.0858123,
0.8223488,-6.4665794,-3.0787835,
0.8012629,-6.51578,-3.0787835,
0.84343463,-6.51578,-3.1209555,
0.8223488,-6.4876657,-3.1209555,
0.8223488,-6.51578,-3.0576978,
0.84343463,-6.494694,-3.0787835,
0.8223488,-6.5368657,-3.0998695,
0.8293774,-6.51578,-3.1209555,
0.8293774,-6.5087514,-3.0576978,
0.83640605,-6.473608,-3.106898,
0.8223488,-6.501723,-3.0647264,
0.8223488,-6.494694,-3.0576978,
0.86452055,-6.473608,-3.071755,
0.84343463,-6.51578,-3.092841,
0.84343463,-6.501723,-3.0998695,
0.8223488,-6.51578,-3.0787835,
0.8574919,-6.473608,-3.0576978,
0.84343463,-6.501723,-3.0576978,
0.8293774,-6.51578,-3.0998695,
0.8223488,-6.5438943,-3.050669,
0.8293774,-6.4806366,-3.0647264,
0.84343463,-6.51578,-3.0998695,
0.8574919,-6.501723,-3.0647264,
0.8223488,-6.51578,-3.071755,
0.8012629,-6.4876657,-3.0787835,
0.8223488,-6.501723,-3.0858123,
0.8504633,-6.438465,-3.0647264,
0.86452055,-6.51578,-3.0787835,
0.8223488,-6.501723,-3.0858123,
0.84343463,-6.4806366,-3.071755,
0.8504633,-6.4806366,-3.092841,
0.84343463,-6.501723,-3.0998695,
0.83640605,-6.4876657,-3.0998695,
0.8223488,-6.51578,-3.0998695,
0.84343463,-6.4665794,-3.1209555,
0.8223488,-6.501723,-3.0647264,
0.84343463,-6.494694,-3.0858123,
0.8293774,-6.4525223,-3.0647264,
0.8223488,-6.4665794,-3.0858123,
0.84343463,-6.5228086,-3.092841,
0.7731484,-6.4876657,-3.0998695,
0.83640605,-6.51578,-3.0858123,
0.83640605,-6.501723,-3.0998695,
0.8223488,-6.494694,-3.0787835,
0.8504633,-6.5087514,-3.0998695,
0.84343463,-6.501723,-3.0436404,
0.86452055,-6.51578,-3.0576978,
0.73800534,-5.398229,-5.067884,
