X, Y, Z, Dlugosc wektora
-0.83578134,0.0020604443,0.6063129,1.0521551,
-0.7901262,0.05053511,0.70434666,1.0602677,
-0.7901262,0.05053511,0.70434666,1.0569117,
-0.77310044,0.052161776,0.71107024,1.0613106,
-0.6610773,0.091635555,0.83415467,1.0464385,
0.7839449,0.018110221,0.58364797,0.97391796,
0.7961991,0.024183111,0.5966613,0.989589,
0.7787396,0.023749333,0.5937333,0.98076534,
0.7787396,0.023749333,0.5937333,1.0076655,
0.68873066,0.028737778,0.8242862,1.0397648,
0.001952,-0.020496,1.0015929,1.0085771,
-0.928176,0.005422222,0.53029335,1.0680805,
-0.93348974,0.008675556,0.50838757,1.0640063,
-0.93348974,0.008675556,0.50838757,1.0700932,
-0.93348974,0.008675556,0.50838757,1.0606314,
-0.9381529,0.021688888,0.52541333,1.0751339,
-0.8392516,0.07851378,0.62648356,1.0495521,
-0.83166045,0.077537775,0.6258329,1.0520691,
-0.82732266,0.090768,0.66443914,1.0801473,
-0.82732266,0.090768,0.66443914,1.0715266,
-0.7952231,0.09890133,0.68428445,1.0513502,
-0.787632,0.110288,0.6941529,1.0740463,
-0.787632,0.110288,0.6941529,1.0645608,
-0.77190757,0.10074489,0.7031538,1.0513661,
-0.7812338,0.10313067,0.6897067,1.0395527,
-0.78947556,0.103347555,0.7151911,1.06917,
-0.7771129,0.107251555,0.6834169,0.99529713,
0.488,0.068536885,0.9151627,1.0665654,
0.488,0.068536885,0.9151627,1.0297867,
0.5931911,0.047390223,0.8014045,1.0121444,
0.5931911,0.047390223,0.8014045,1.0105335,
0.5931911,0.047390223,0.8014045,1.0083277,
0.5931911,0.047390223,0.8014045,1.0106286,
0.5931911,0.047390223,0.8014045,1.0091485,
0.5931911,0.047390223,0.8014045,1.0045452,
0.63700265,0.0034702222,0.7878489,1.0135834,
0.61910933,-0.0011928888,0.7840533,1.0000757,
0.61694044,-0.005313778,0.77342576,1.0020038,
0.63114667,-0.0023857777,0.78112537,1.0057832,
-0.23640889,0.06918756,1.0122204,1.0055605,
-0.046197332,0.0028195556,1.0213298,1.0216297,
-0.04804089,0.0033617776,1.0225227,1.0246929,
-0.050318222,0.0050968886,1.0256675,1.0242054,
-0.047498666,0.00488,1.0221974,1.0262386,
-0.046414223,0.0045546666,1.0213298,1.022958,
-0.046414223,0.0045546666,1.0213298,1.0227253,
-0.048257776,0.006398222,1.022631,1.0240937,
-0.048257776,0.006398222,1.022631,1.0262946,
-0.04760711,0.0049884445,1.0249084,1.0243936,
-0.047715556,0.005639111,1.0229565,1.021351,
-0.047173332,0.0060728886,1.0236071,1.0249485,
-0.047824,0.0041208887,1.0236071,1.0246187,
-0.047824,0.0041208887,1.0236071,1.0271266,
-0.04565511,0.0024942223,1.0223057,1.0248684,
-0.04858311,0.006181333,1.022631,1.0256319,
-0.046414223,0.007374222,1.0268605,1.0227952,
-0.046414223,0.007374222,1.0268605,1.0252339,
-0.044570666,0.008133333,1.0221974,1.0225973,
-0.047281776,0.0055306666,1.0216551,1.024476,
-0.048149332,0.0059644445,1.0259929,1.0267054,
-0.04370311,0.0059644445,1.0246916,1.0243733,
-0.046414223,0.00488,1.0255591,1.0238919,
-0.045980442,0.0034702222,1.0244747,1.0250664,
-0.045980442,0.0034702222,1.0244747,1.0239044,
-0.04608889,0.004446222,1.0234987,1.0237726,
-0.045872,0.0052053332,1.0249084,1.0230652,
-0.045872,0.0052053332,1.0249084,1.0243039,
-0.045872,0.0052053332,1.0249084,1.0262761,
-0.047281776,0.004663111,1.0215467,1.0243624,
-0.047281776,0.004663111,1.0215467,1.0250585,
-0.045763556,0.0052053332,1.018944,1.0201019,
-0.045980442,0.004337778,1.0262097,1.0269104,
-0.04565511,0.0070488886,1.0282702,1.0282686,
-0.04565511,0.0070488886,1.0282702,1.0234249,
-0.04565511,0.0070488886,1.0282702,1.0296105,
-0.04608889,0.0049884445,1.0251254,1.0244522,
-0.04608889,0.0049884445,1.0251254,1.0231771,
-0.04608889,0.0049884445,1.0251254,1.0239007,
